time,input,output
0.0,2.05,4.48
0.0037777777777389726,2.1,4.48
0.007555555555477945,2.15,4.48
0.011333333333216917,2.2,4.48
0.01511111111095589,2.24,4.48
0.018888888888694864,2.29,4.48
0.022666666666433834,2.33,4.48
0.026444444444172807,2.37,4.48
0.03022222222191178,2.42,4.48
0.033999999999650754,2.46,4.48
0.03739999999961583,2.5,4.48
0.04079999999958091,2.54,4.48
0.04419999999954598,2.58,4.48
0.047599999999511054,2.62,4.48
0.05099999999947613,2.66,4.48
0.05439999999944121,2.69,4.48
0.057799999999406285,2.73,4.48
0.061199999999371354,2.76,4.48
0.06459999999933644,2.8,4.48
0.06799999999930151,2.84,4.48
0.07118181818077574,2.87,4.48
0.07436363636224996,2.91,4.48
0.07754545454372419,2.94,4.48
0.08072727272519842,2.97,4.48
0.08390909090667265,3.0,4.48
0.08709090908814687,3.03,4.48
0.0902727272696211,3.07,4.48
0.09345454545109533,3.1,4.48
0.09663636363256956,3.13,4.48
0.09981818181404378,3.15,4.48
0.10299999999551801,3.18,4.48
0.10688888888479495,3.21,4.48
0.11077777777407188,3.24,4.48
0.11466666666334883,3.27,4.48
0.11855555555262577,3.29,4.48
0.12244444444190271,3.32,4.48
0.12633333333117966,3.34,0.0
0.1302222222204566,3.21,0.0
0.13411111110973353,3.1,0.0
0.13799999999901047,3.0,0.0
0.1410909090898878,2.9,0.0
0.14418181818076514,2.8,0.0
0.1472727272716425,2.71,0.0
0.15036363636251984,2.63,0.0
0.15345454545339718,2.54,0.0
0.15654545454427451,2.47,0.0
0.15963636363515185,2.39,0.0
0.16272727272602922,2.31,0.0
0.16581818181690655,2.24,0.0
0.1689090909077839,2.17,0.0
0.17199999999866122,2.1,0.0
0.1753999999986263,2.03,0.0
0.17879999999859136,1.97,0.0
0.18219999999855646,1.91,0.0
0.18559999999852153,1.85,0.0
0.1889999999984866,1.8,0.0
0.19239999999845167,1.74,0.0
0.19579999999841674,1.68,0.0
0.19919999999838184,1.69,4.5
0.2025999999983469,1.76,4.48
0.20599999999831198,1.82,4.49
0.20918181818044765,1.87,4.5
0.21236363636258335,1.92,4.5
0.21554545454471902,1.97,4.5
0.2187272727268547,2.03,4.48
0.22190909090899036,2.08,4.48
0.22509090909112606,2.12,4.48
0.22827272727326173,2.17,4.48
0.2314545454553974,2.22,4.48
0.23463636363753307,2.26,4.48
0.23781818181966877,2.31,4.48
0.24100000000180444,2.35,4.48
0.24466666666800543,2.39,4.48
0.24833333333420646,2.44,4.48
0.25200000000040745,2.48,4.48
0.2556666666666085,2.52,4.48
0.25933333333280945,2.56,4.48
0.26299999999901047,2.6,4.48
0.2666666666652115,2.64,4.48
0.27033333333141246,2.67,4.48
0.2739999999976135,2.71,4.48
0.277299999997922,2.74,4.48
0.2805999999982305,2.78,4.48
0.283899999998539,2.82,4.48
0.2871999999988475,2.85,4.48
0.290499999999156,2.89,4.49
0.2937999999994645,2.92,4.48
0.297099999999773,2.95,4.48
0.3004000000000815,2.98,4.48
0.30370000000039,3.02,4.48
0.3070000000006985,3.05,4.48
0.3104000000006636,3.08,4.48
0.31380000000062863,3.11,4.48
0.31720000000059373,3.13,4.48
0.32060000000055877,3.17,4.48
0.32400000000052387,3.19,4.48
0.32740000000048897,3.23,4.48
0.330800000000454,3.25,4.48
0.3342000000004191,3.28,4.48
0.33760000000038415,3.31,4.48
0.34100000000034925,3.33,4.48
0.3441818181818235,3.27,0.0
0.3473636363632977,3.15,0.0
0.35054545454477193,3.05,0.0
0.35372727272624616,2.95,0.0
0.3569090909077204,2.85,0.0
0.3600909090891946,2.76,0.0
0.36327272727066884,2.67,0.0
0.36645454545214307,2.59,0.0
0.3696363636336173,2.5,0.0
0.3728181818150915,2.43,0.0
0.37599999999656575,2.35,0.0
0.3796666666635752,2.28,0.0
0.3833333333305846,2.21,0.0
0.3869999999975941,2.13,0.0
0.39066666666460353,2.07,0.0
0.39433333333161297,2.0,0.0
0.3979999999986224,1.94,0.0
0.4016666666656319,1.88,0.0
0.4053333333326413,1.83,0.0
0.40899999999965075,1.77,0.0
0.41269999999931317,1.71,0.0
0.41639999999897553,1.66,0.0
0.42009999999863795,1.72,4.5
0.4237999999983003,1.79,4.5
0.42749999999796273,1.84,4.5
0.43119999999762515,1.89,4.48
0.4348999999972875,1.95,4.5
0.43859999999694993,2.0,4.48
0.4422999999966123,2.05,4.48
0.4459999999962747,2.1,4.48
0.44909090908715205,2.15,4.48
0.4521818181780294,2.2,4.48
0.4552727272689067,2.24,4.48
0.45836363635978405,2.29,4.48
0.4614545454506614,2.33,4.48
0.4645454545415388,2.37,4.48
0.4676363636324161,2.42,4.48
0.47072727272329346,2.46,4.48
0.4738181818141708,2.5,4.48
0.4769090909050481,2.54,4.48
0.47999999999592546,2.58,4.48
0.4841111111074699,2.62,4.48
0.48822222221901435,2.65,4.48
