time,input,output
0.0,2.23,0.0
0.003000000000280455,2.16,0.0
0.00600000000056091,2.09,0.0
0.009000000000841364,2.03,0.0
0.01200000000112182,1.96,0.0
0.015000000001402275,1.9,0.0
0.01800000000168273,1.85,0.0
0.021000000001963184,1.79,0.0
0.02400000000224364,1.73,0.0
0.027000000002524095,1.68,0.0
0.03000000000280455,1.68,4.5
0.033000000003085006,1.73,4.48
0.03650000000343425,1.77,4.5
0.040000000003783495,1.81,4.5
0.04350000000413275,1.85,4.5
0.04700000000448199,1.88,4.48
0.050500000004831236,1.92,4.5
0.05400000000518048,1.95,4.5
0.057500000005529725,1.99,4.48
0.061000000005878977,2.02,4.48
0.06450000000622821,2.06,4.48
0.06800000000657747,2.08,4.48
0.07188888889504597,2.12,4.48
0.07577777778351447,2.15,4.48
0.07966666667198297,2.18,4.48
0.08355555556045147,2.21,4.48
0.08744444444891997,2.24,4.48
0.09133333333738847,2.27,4.48
0.09522222222585697,2.3,4.48
0.09911111111432547,2.33,4.48
0.10300000000279397,2.36,4.48
0.10618181818492965,2.39,4.48
0.10936363636706532,2.42,4.48
0.11254545454920101,2.44,4.48
0.11572727273133668,2.47,4.48
0.11890909091347236,2.5,4.48
0.12209090909560803,2.52,4.48
0.12527272727774372,2.55,4.48
0.1284545454598794,2.58,4.48
0.13163636364201506,2.6,4.48
0.13481818182415076,2.63,4.48
0.13800000000628643,2.65,4.48
0.1414000000062515,2.68,4.48
0.14480000000621657,2.7,4.48
0.14820000000618166,2.72,4.48
0.15160000000614673,2.75,4.48
0.1550000000061118,2.77,4.48
0.15840000000607687,2.8,4.48
0.16180000000604194,2.82,4.48
0.16520000000600704,2.84,4.48
0.1686000000059721,2.87,4.48
0.17200000000593718,2.89,4.48
0.17500000000555618,2.91,4.48
0.17800000000517519,2.93,4.48
0.1810000000047942,2.95,4.48
0.1840000000044132,2.98,4.48
0.18700000000403222,3.0,4.48
0.1900000000036512,3.02,4.48
0.19300000000327022,3.04,4.48
0.19600000000288922,3.06,4.48
0.19900000000250823,3.08,4.48
0.20200000000212723,3.1,4.48
0.20500000000174623,3.12,4.48
0.2087777777794852,3.14,4.48
0.21255555555722416,3.16,4.48
0.21633333333496316,3.18,4.48
0.22011111111270212,3.2,4.48
0.2238888888904411,3.22,4.48
0.22766666666818006,3.23,4.48
0.23144444444591905,3.25,4.48
0.23522222222365802,3.27,4.48
0.23900000000139698,3.29,4.48
0.24240000000136205,3.31,4.48
0.24580000000132712,3.33,4.48
0.24920000000129222,3.34,4.48
0.25260000000125726,3.24,0.0
0.25600000000122236,3.13,0.0
0.25940000000118746,3.03,0.0
0.2628000000011525,2.93,0.0
0.2662000000011176,2.83,0.0
0.26960000000108264,2.74,0.0
0.27300000000104774,2.65,0.0
0.27630000000135624,2.57,0.0
0.27960000000166474,2.49,0.0
0.28290000000197324,2.41,0.0
0.28620000000228174,2.33,0.0
0.28950000000259024,2.26,0.0
0.29280000000289874,2.19,0.0
0.29610000000320724,2.12,0.0
0.29940000000351574,2.06,0.0
0.30270000000382424,1.99,0.0
0.30600000000413274,1.93,0.0
0.3102222222264067,1.87,0.0
0.3144444444486807,1.81,0.0
0.3186666666709546,1.75,0.0
0.3228888888932286,1.7,0.0
0.32711111111550256,1.67,4.5
0.33133333333777654,1.71,4.48
0.33555555556005046,1.76,4.48
0.33977777778232443,1.8,4.5
0.3440000000045984,1.84,4.49
0.34661538461995617,1.87,4.48
0.34923076923531393,1.9,4.5
0.35184615385067164,1.94,4.48
0.3544615384660294,1.97,4.5
0.35707692308138717,2.01,4.48
0.35969230769674493,2.04,4.48
0.36230769231210264,2.08,4.48
0.3649230769274604,2.1,4.48
0.36753846154281816,2.14,4.48
0.3701538461581759,2.17,4.48
0.37276923077353363,2.2,4.48
0.3753846153888914,2.23,4.48
0.37800000000424916,2.26,4.48
0.3817777777819881,2.29,4.48
0.3855555555597271,2.32,4.48
0.38933333333746606,2.35,4.48
0.393111111115205,2.38,4.48
0.39688888889294405,2.4,4.48
0.400666666670683,2.43,4.48
0.404444444448422,2.46,4.48
0.40822222222616095,2.49,4.48
0.4120000000038999,2.51,4.48
0.41570000000356233,2.54,4.48
0.4194000000032247,2.57,4.48
0.4231000000028871,2.59,4.49
0.4268000000025495,2.62,4.48
0.4305000000022119,2.64,4.48
0.4342000000018743,2.67,4.48
