time,input,output
0.0,2.67,0.0
0.0036000000000058208,2.58,0.0
0.0072000000000116415,2.5,0.0
0.010800000000017462,2.42,0.0
0.014400000000023283,2.34,0.0
0.018000000000029104,2.27,0.0
0.021600000000034925,2.2,0.0
0.025200000000040745,2.13,0.0
0.028800000000046566,2.07,0.0
0.03240000000005239,2.0,0.0
0.03600000000005821,1.94,0.0
0.039699999999720605,1.88,0.0
0.043399999999383,1.82,0.0
0.04709999999904539,1.76,0.0
0.05079999999870779,1.71,0.0
0.054499999998370185,1.66,0.0
0.05819999999803258,1.71,4.5
0.06189999999769498,1.75,4.5
0.06559999999735737,1.79,4.5
0.06929999999701977,1.83,4.5
0.07299999999668216,1.87,4.5
0.07599999999696262,1.9,4.5
0.07899999999724307,1.93,4.5
0.08199999999752353,1.97,4.48
0.08499999999780398,2.0,4.48
0.08799999999808444,2.04,4.48
0.09099999999836489,2.07,4.48
0.09399999999864535,2.1,4.48
0.0969999999989258,2.13,4.48
0.09999999999920625,2.16,4.48
0.10299999999948671,2.19,4.48
0.10599999999976717,2.23,4.48
0.10939999999973224,2.26,4.49
0.11279999999969732,2.29,4.48
0.11619999999966239,2.31,4.48
0.11959999999962748,2.34,4.48
0.12299999999959255,2.37,4.48
0.12639999999955762,2.4,4.48
0.12979999999952269,2.43,4.48
0.13319999999948778,2.46,4.48
0.13659999999945285,2.49,4.48
0.13999999999941792,2.51,4.48
0.14349999999903956,2.53,4.48
0.14699999999866123,2.56,4.48
0.15049999999828287,2.59,4.48
0.15399999999790454,2.61,4.48
0.15749999999752617,2.64,4.48
0.1609999999971478,2.67,4.48
0.16449999999676948,2.69,4.48
0.16799999999639112,2.71,4.48
0.1714999999960128,2.74,4.48
0.17499999999563443,2.76,4.48
0.17849999999598368,2.78,4.48
0.18199999999633293,2.81,4.48
0.18549999999668215,2.83,4.48
0.1889999999970314,2.85,4.48
0.19249999999738066,2.88,4.48
0.1959999999977299,2.9,4.49
0.19949999999807916,2.92,4.48
0.20299999999842838,2.94,4.48
0.20649999999877763,2.96,4.48
0.20999999999912689,2.98,4.48
0.2129999999987459,3.01,4.48
0.2159999999983649,3.03,4.48
0.2189999999979839,3.05,4.48
0.2219999999976029,3.07,4.48
0.22499999999722192,3.09,4.48
0.2279999999968409,3.11,4.48
0.23099999999645993,3.13,4.48
0.23399999999607893,3.15,4.48
0.23699999999569793,3.17,4.48
0.23999999999531693,3.19,4.48
0.24299999999493593,3.21,4.48
0.24629999999524443,3.23,4.48
0.24959999999555293,3.24,4.48
0.25289999999586144,3.26,4.48
0.25619999999616994,3.28,4.48
0.25949999999647844,3.3,4.48
0.26279999999678694,3.32,4.48
0.26609999999709544,3.33,4.48
0.26939999999740394,3.31,0.0
0.27269999999771244,3.18,0.0
0.27599999999802094,3.08,0.0
0.2797777777757599,2.97,0.0
0.2835555555534989,2.88,0.0
0.28733333333123784,2.78,0.0
0.2911111111089768,2.7,0.0
0.2948888888867158,2.61,0.0
0.2986666666644548,2.52,0.0
0.30244444444219376,2.45,0.0
0.3062222222199327,2.37,0.0
0.3099999999976717,2.29,0.0
0.3133999999976368,2.22,0.0
0.31679999999760183,2.15,0.0
0.32019999999756693,2.08,0.0
0.323599999997532,2.02,0.0
0.32699999999749707,1.96,0.0
0.33039999999746217,1.89,0.0
0.3337999999974272,1.84,0.0
0.3371999999973923,1.78,0.0
